PrePost,Surveys,u,p
preNpostH:preNpostN,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,6.058620683770896e-07
preNpostH:preNpostN,Pre_LS_Sum : Post_LS_Sum,442.5,0.36933921364110145
preNpostH:preNpostN,Pre_NBS_Sum : Post_NBS_Sum,562.5,0.8385387860669745
preNpostH:preNpostN,Pre_BRS_Sum : Post_BRS_sum,645.5,0.3303724568538873
preNpostH:preNpostH,Pre_PSS_sum : Post_PSS_sum,2.0,0.0007823917380100835
preNpostH:preNpostH,Pre_CSSEC_Sum : Post_CSSEC_Sum,27.0,0.25099827044292256
preNpostH:preNpostH,Pre_ISEL_Sum : Post_ISEL_sum,61.5,0.0691079741563671
preNpostH:preNpostH,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,0.0004094601088531576
preNpostH:preNpostH,Pre_LS_Sum : Post_LS_Sum,30.0,0.3759902110775778
preNpostH:preNpostH,Pre_NBS_Sum : Post_NBS_Sum,46.0,0.6576831329466553
preNpostH:preNpostH,Pre_BRS_Sum : Post_BRS_sum,59.0,0.10862363653745821
preNpostH:preNpostL,Pre_PSS_sum : Post_PSS_sum,6.5,0.018213797333020712
preNpostH:preNpostL,Pre_CSSEC_Sum : Post_CSSEC_Sum,23.0,0.6799884022342944
preNpostH:preNpostL,Pre_ISEL_Sum : Post_ISEL_sum,26.5,1.0
preNpostH:preNpostL,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,0.0017561325340873296
preNpostH:preNpostL,Pre_LS_Sum : Post_LS_Sum,32.5,0.5539148722209741
preNpostH:preNpostL,Pre_NBS_Sum : Post_NBS_Sum,30.0,0.7664479605510713
preNpostH:preNpostL,Pre_BRS_Sum : Post_BRS_sum,26.0,0.9517921765520325
preNpostH:preHpostN,Pre_PSS_sum : Post_PSS_sum,6.0,0.00035609518400691264
preNpostH:preHpostN,Pre_CSSEC_Sum : Post_CSSEC_Sum,78.0,0.3610247699750073
preNpostH:preHpostN,Pre_ISEL_Sum : Post_ISEL_sum,92.5,0.06677590600327953
preNpostH:preHpostN,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,8.179581684414233e-05
preNpostH:preHpostN,Pre_LS_Sum : Post_LS_Sum,53.0,0.5485544750241825
preNpostH:preHpostN,Pre_NBS_Sum : Post_NBS_Sum,85.5,0.1620045227614466
preNpostH:preHpostN,Pre_BRS_Sum : Post_BRS_sum,56.0,0.6799508388474245
preNpostH:preLpostN,Pre_PSS_sum : Post_PSS_sum,3.5,0.01343197391083301
preNpostH:preLpostN,Pre_CSSEC_Sum : Post_CSSEC_Sum,24.0,0.893929766752772
preNpostH:preLpostN,Pre_ISEL_Sum : Post_ISEL_sum,30.0,0.3495866259069511
preNpostH:preLpostN,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,0.00331872366133435
preNpostH:preLpostN,Pre_LS_Sum : Post_LS_Sum,14.0,0.28452900838625217
preNpostH:preLpostN,Pre_NBS_Sum : Post_NBS_Sum,25.5,0.7380492960858203
preNpostH:preLpostN,Pre_BRS_Sum : Post_BRS_sum,34.0,0.1385024216864989
preNpostH:preHpostH,Pre_PSS_sum : Post_PSS_sum,5.5,0.012918912064928482
preNpostH:preHpostH,Pre_CSSEC_Sum : Post_CSSEC_Sum,32.0,0.5958830905651777
preNpostH:preHpostH,Pre_ISEL_Sum : Post_ISEL_sum,40.5,0.12347780792817821
preNpostH:preHpostH,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,0.001772936866096827
preNpostH:preHpostH,Pre_LS_Sum : Post_LS_Sum,18.5,0.34491565641202504
preNpostH:preHpostH,Pre_NBS_Sum : Post_NBS_Sum,31.5,0.6364469864577411
preNpostH:preHpostH,Pre_BRS_Sum : Post_BRS_sum,39.0,0.1702819806512288
preNpostH:preLpostL,Pre_PSS_sum : Post_PSS_sum,0.0,0.0
preNpostH:preLpostL,Pre_CSSEC_Sum : Post_CSSEC_Sum,0.0,0.0
preNpostH:preLpostL,Pre_ISEL_Sum : Post_ISEL_sum,0.0,0.0
preNpostH:preLpostL,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,0.0
preNpostH:preLpostL,Pre_LS_Sum : Post_LS_Sum,0.0,0.0
preNpostH:preLpostL,Pre_NBS_Sum : Post_NBS_Sum,0.0,0.0
preNpostH:preLpostL,Pre_BRS_Sum : Post_BRS_sum,0.0,0.0
preNpostH:preLpostH,Pre_PSS_sum : Post_PSS_sum,0.0,0.0
preNpostH:preLpostH,Pre_CSSEC_Sum : Post_CSSEC_Sum,0.0,0.0
preNpostH:preLpostH,Pre_ISEL_Sum : Post_ISEL_sum,0.0,0.0
preNpostH:preLpostH,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,0.0
preNpostH:preLpostH,Pre_LS_Sum : Post_LS_Sum,0.0,0.0
preNpostH:preLpostH,Pre_NBS_Sum : Post_NBS_Sum,0.0,0.0
preNpostH:preLpostH,Pre_BRS_Sum : Post_BRS_sum,0.0,0.0
preNpostH:preHpostL,Pre_PSS_sum : Post_PSS_sum,0.0,0.0
preNpostH:preHpostL,Pre_CSSEC_Sum : Post_CSSEC_Sum,0.0,0.0
preNpostH:preHpostL,Pre_ISEL_Sum : Post_ISEL_sum,0.0,0.0
preNpostH:preHpostL,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,0.0
preNpostH:preHpostL,Pre_LS_Sum : Post_LS_Sum,0.0,0.0
preNpostH:preHpostL,Pre_NBS_Sum : Post_NBS_Sum,0.0,0.0
preNpostH:preHpostL,Pre_BRS_Sum : Post_BRS_sum,0.0,0.0
preNpostL:preHpostN,Pre_PSS_sum : Pre_PSS_sum,61.5,0.11350369028125959
preNpostL:preHpostN,Pre_CSSEC_Sum : Pre_CSSEC_Sum,70.5,0.02087322387656567
preNpostL:preHpostN,Pre_ISEL_Sum : Pre_ISEL_Sum,32.5,0.4560321466821684
preNpostL:preHpostN,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,6.0,0.0033276764052548873
preNpostL:preHpostN,Pre_LS_Sum : Pre_LS_Sum,67.5,0.03906350133816086
preNpostL:preHpostN,Pre_NBS_Sum : Pre_NBS_Sum,70.0,0.023008390473477344
preNpostL:preHpostN,Pre_BRS_Sum : Pre_BRS_Sum,1.5,0.0008866198884795236
preNpostL:preLpostN,Pre_PSS_sum : Pre_PSS_sum,0.0,0.007827028296291774
preNpostL:preLpostN,Pre_CSSEC_Sum : Pre_CSSEC_Sum,14.0,0.9272644735252321
preNpostL:preLpostN,Pre_ISEL_Sum : Pre_ISEL_Sum,16.0,0.9267648238448151
preNpostL:preLpostN,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,21.0,0.31086287025889725
preNpostL:preLpostN,Pre_LS_Sum : Pre_LS_Sum,10.0,0.41024789769198466
preNpostL:preLpostN,Pre_NBS_Sum : Pre_NBS_Sum,5.0,0.08143973230450288
preNpostL:preLpostN,Pre_BRS_Sum : Pre_BRS_Sum,23.0,0.16304505585423734
preNpostL:preHpostH,Pre_PSS_sum : Pre_PSS_sum,32.5,0.024469650576986687
preNpostL:preHpostH,Pre_CSSEC_Sum : Pre_CSSEC_Sum,34.0,0.013065226764425961
preNpostL:preHpostH,Pre_ISEL_Sum : Pre_ISEL_Sum,9.0,0.17197868192455812
preNpostL:preHpostH,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,2.0,0.012906570419653424
preNpostL:preHpostH,Pre_LS_Sum : Pre_LS_Sum,30.0,0.06461008912954472
preNpostL:preHpostH,Pre_NBS_Sum : Pre_NBS_Sum,36.0,0.005074868097940253
preNpostL:preHpostH,Pre_BRS_Sum : Pre_BRS_Sum,0.0,0.00492203567532315
preNpostL:preLpostL,Pre_PSS_sum : Pre_PSS_sum,0.0,0.0
preNpostL:preLpostL,Pre_CSSEC_Sum : Pre_CSSEC_Sum,0.0,0.0
preNpostL:preLpostL,Pre_ISEL_Sum : Pre_ISEL_Sum,0.0,0.0
preNpostL:preLpostL,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,0.0,0.0
preNpostL:preLpostL,Pre_LS_Sum : Pre_LS_Sum,0.0,0.0
preNpostL:preLpostL,Pre_NBS_Sum : Pre_NBS_Sum,0.0,0.0
preNpostL:preLpostL,Pre_BRS_Sum : Pre_BRS_Sum,0.0,0.0
preNpostL:preLpostH,Pre_PSS_sum : Pre_PSS_sum,0.0,0.0
preNpostL:preLpostH,Pre_CSSEC_Sum : Pre_CSSEC_Sum,0.0,0.0
preNpostL:preLpostH,Pre_ISEL_Sum : Pre_ISEL_Sum,0.0,0.0
preNpostL:preLpostH,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,0.0,0.0
preNpostL:preLpostH,Pre_LS_Sum : Pre_LS_Sum,0.0,0.0
preNpostL:preLpostH,Pre_NBS_Sum : Pre_NBS_Sum,0.0,0.0
preNpostL:preLpostH,Pre_BRS_Sum : Pre_BRS_Sum,0.0,0.0
preNpostL:preHpostL,Pre_PSS_sum : Pre_PSS_sum,0.0,0.0
preNpostL:preHpostL,Pre_CSSEC_Sum : Pre_CSSEC_Sum,0.0,0.0
preNpostL:preHpostL,Pre_ISEL_Sum : Pre_ISEL_Sum,0.0,0.0
preNpostL:preHpostL,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,0.0,0.0
preNpostL:preHpostL,Pre_LS_Sum : Pre_LS_Sum,0.0,0.0
preNpostL:preHpostL,Pre_NBS_Sum : Pre_NBS_Sum,0.0,0.0
preNpostL:preHpostL,Pre_BRS_Sum : Pre_BRS_Sum,0.0,0.0
preNpostL:preNpostN,Pre_PSS_sum : Post_PSS_sum,78.0,0.0012383947707554962
preNpostL:preNpostN,Pre_CSSEC_Sum : Post_CSSEC_Sum,581.0,0.011534141012359968
preNpostL:preNpostN,Pre_ISEL_Sum : Post_ISEL_sum,370.0,0.9131957147545184
preNpostL:preNpostN,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,3.7919586532403023e-05
preNpostL:preNpostN,Pre_LS_Sum : Post_LS_Sum,461.0,0.24905787150877656
preNpostL:preNpostN,Pre_NBS_Sum : Post_NBS_Sum,499.5,0.1106256613648137
preNpostL:preNpostN,Pre_BRS_Sum : Post_BRS_sum,147.0,0.014651484330231997
preNpostL:preNpostH,Pre_PSS_sum : Post_PSS_sum,3.0,0.005445171578690799
preNpostL:preNpostH,Pre_CSSEC_Sum : Post_CSSEC_Sum,38.0,0.2159249389401403
preNpostL:preNpostH,Pre_ISEL_Sum : Post_ISEL_sum,39.0,0.173781070118891
preNpostL:preNpostH,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,0.001772936866096827
preNpostL:preNpostH,Pre_LS_Sum : Post_LS_Sum,33.5,0.47792382761428454
preNpostL:preNpostH,Pre_NBS_Sum : Post_NBS_Sum,37.0,0.2620366487696487
preNpostL:preNpostH,Pre_BRS_Sum : Post_BRS_sum,15.5,0.19365278045047596
preNpostL:preNpostL,Pre_PSS_sum : Post_PSS_sum,8.0,0.1255302702634152
preNpostL:preNpostL,Pre_CSSEC_Sum : Post_CSSEC_Sum,29.0,0.09269580255781257
preNpostL:preNpostL,Pre_ISEL_Sum : Post_ISEL_sum,14.5,0.626702406128227
preNpostL:preNpostL,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,0.00492203567532315
